,PMT,param,slope,scale,intercept
0,PMT1,fitParam0,13.790090667952486,0.0,0.0
1,PMT1,fitParam1,0.007514311158554512,3.9567982256158656,1.0
2,PMT1,fitParam2,0.006859802387963969,0.25754818219905845,1.0
3,PMT2,fitParam0,13.373810696375386,0.0,0.0
4,PMT2,fitParam1,0.010038792143984605,3.2428189189785765,1.0
5,PMT2,fitParam2,0.0074508941958204705,0.3467652088516925,1.0
6,PMT3,fitParam0,12.843329382551145,0.0,0.0
7,PMT3,fitParam1,0.008336137843202616,3.651490733691626,1.0
8,PMT3,fitParam2,0.006967979279250284,0.3334499425048787,1.0
9,PMT4,fitParam0,12.937651612736255,0.0,0.0
10,PMT4,fitParam1,0.00815376816714407,3.7529229891484626,1.0
11,PMT4,fitParam2,0.007501739288541743,0.30164635496005227,1.0
