,PMT,param,slope,scale,intercept
0,PMT1,fitParam0,9.925417272455258,0.0,0.0
1,PMT1,fitParam1,0.004351838460889897,3.1902079813446833,1.0
2,PMT1,fitParam2,0.015007661853234282,0.34766481941770955,1.0
3,PMT2,fitParam0,10.899582241261887,0.0,0.0
4,PMT2,fitParam1,0.003107195082977687,3.3446350310179858,1.0
5,PMT2,fitParam2,0.013918668195281418,0.2815165556788883,1.0
6,PMT3,fitParam0,11.03281179816272,0.0,0.0
7,PMT3,fitParam1,0.006136997533392441,2.6721743798707163,1.0
8,PMT3,fitParam2,0.014087852974924554,0.4005147769979168,1.0
9,PMT4,fitParam0,11.251698257999685,0.0,0.0
10,PMT4,fitParam1,0.004500670900552254,2.952857782214339,1.0
11,PMT4,fitParam2,0.014299590333111735,0.3514886985843506,1.0
