,PMT,param,slope,scale,intercept
0,PMT1,fitParam0,11.443781798857861,0.0,0.0
1,PMT1,fitParam1,0.007589070890094704,3.678055517146221,1.0
2,PMT1,fitParam2,0.007746287815598047,0.37094779333514477,1.0
3,PMT2,fitParam0,12.318683778585756,0.0,0.0
4,PMT2,fitParam1,0.007625696624587492,3.7430788097565855,1.0
5,PMT2,fitParam2,0.007353155383510275,0.32253945551563684,1.0
6,PMT3,fitParam0,12.711622298159261,0.0,0.0
7,PMT3,fitParam1,0.005963784097794421,4.070502388479688,1.0
8,PMT3,fitParam2,0.007380624970463711,0.2594776000237793,1.0
9,PMT4,fitParam0,12.237915788858047,0.0,0.0
10,PMT4,fitParam1,0.004709353763497459,4.369005905850358,1.0
11,PMT4,fitParam2,0.0077740440644267226,0.24927752544524676,1.0
