,PMT,param,slope,scale,intercept
0,PMT1,fitParam0,11.475452108095643,0.0,0.0
1,PMT1,fitParam1,0.00720633705277871,3.562073285347926,1.0
2,PMT1,fitParam2,0.008878565563298935,0.3400104655938166,1.0
3,PMT2,fitParam0,12.678474302337051,0.0,0.0
4,PMT2,fitParam1,0.007624658146266089,3.305713646473611,1.0
5,PMT2,fitParam2,0.008176397944345484,0.38328266887371853,1.0
6,PMT3,fitParam0,11.8859220619899,0.0,0.0
7,PMT3,fitParam1,0.006111704508844793,3.798361791249599,1.0
8,PMT3,fitParam2,0.008733375577924496,0.30806762636193835,1.0
9,PMT4,fitParam0,13.395040556307123,0.0,0.0
10,PMT4,fitParam1,0.006785035176026936,3.6018154977939303,1.0
11,PMT4,fitParam2,0.008338613461646488,0.3023195006430941,1.0
