,PMT,param,slope,scale,intercept
0,PMT1,fitParam0,11.279254216153534,0.0,0.0
1,PMT1,fitParam1,0.007219627889840562,3.870653914049937,1.0
2,PMT1,fitParam2,0.008462952129214954,0.31103076792086204,1.0
3,PMT2,fitParam0,11.507480609082947,0.0,0.0
4,PMT2,fitParam1,0.008644273095954128,3.435173811003713,1.0
5,PMT2,fitParam2,0.008348104972986409,0.3253651139525823,1.0
6,PMT3,fitParam0,12.441633898662422,0.0,0.0
7,PMT3,fitParam1,0.007433612109097507,3.6503013360311116,1.0
8,PMT3,fitParam2,0.007931260035917277,0.31020194791921696,1.0
9,PMT4,fitParam0,12.002640683642886,0.0,0.0
10,PMT4,fitParam1,0.007843400762899824,3.561687805795437,1.0
11,PMT4,fitParam2,0.008188644098575362,0.32630973409147057,1.0
